"gene_id","rsq","cluster"
"Ywhag",NA,5
"Zc3h14",NA,2
"Zc3hav1",NA,1
"Zfp160",NA,2
"Zfp268",NA,1
"Zfp292",NA,2
"Zfp385a",NA,4
"Zfp428",NA,5
"Zfp444",NA,5
"Zfp788",NA,2
"Zfp940",NA,2
"Zfp974",NA,2
"Zfp995",NA,2
"Zfta",NA,4
"Zkscan5",NA,2
"Zkscan8",NA,1
"Zmynd11",NA,2
"Znrf1",NA,5
"Zwilch",NA,1
