"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,0.0291808519859127,2,53,1,0.0188679245283019,0.5,"GO:1903974","GO:BP","positive regulation of cellular response to macrophage colony-stimulating factor stimulus",25907,23081,"GO:0036006;GO:1903971;GO:1903972"
"query_1",TRUE,0.0291808519859127,2,53,1,0.0188679245283019,0.5,"GO:1904845","GO:BP","cellular response to L-glutamine",25907,23771,"GO:0071230;GO:1901699;GO:1901701;GO:1904844"
"query_1",TRUE,0.0291808519859127,2,53,1,0.0188679245283019,0.5,"GO:1904438","GO:BP","regulation of iron ion import across plasma membrane",25907,23453,"GO:0034759;GO:0060341;GO:0098711"
"query_1",TRUE,0.0291808519859127,312,53,4,0.0754716981132075,0.0128205128205128,"GO:0060326","GO:BP","cell chemotaxis",25907,14329,"GO:0006935;GO:0016477;GO:0070887"
"query_1",TRUE,0.0291808519859127,2,53,1,0.0188679245283019,0.5,"GO:1904440","GO:BP","positive regulation of iron ion import across plasma membrane",25907,23455,"GO:0034761;GO:0098711;GO:1904438"
"query_1",TRUE,0.0291808519859127,2,53,1,0.0188679245283019,0.5,"GO:0010625","GO:BP","positive regulation of Schwann cell proliferation",25907,4255,"GO:0010624;GO:0014010;GO:0060252"
"query_1",TRUE,0.0291808519859127,2,53,1,0.0188679245283019,0.5,"GO:0051134","GO:BP","negative regulation of NK T cell activation",25907,13338,"GO:0046636;GO:0051132;GO:0051133"
"query_1",TRUE,0.0291808519859127,2,53,1,0.0188679245283019,0.5,"GO:2000098","GO:BP","negative regulation of smooth muscle cell-matrix adhesion",25907,25012,"GO:0001953;GO:0061302;GO:2000097"
"query_1",TRUE,0.0291808519859127,2,53,1,0.0188679245283019,0.5,"GO:0150064","GO:BP","vertebrate eye-specific patterning",25907,19859,"GO:0003002;GO:0007417;GO:0150063"
"query_1",TRUE,0.0291808519859127,2,53,1,0.0188679245283019,0.5,"GO:0042495","GO:BP","detection of triacyl bacterial lipopeptide",25907,10130,"GO:0070340;GO:0071725"
"query_1",TRUE,0.0291808519859127,2,53,1,0.0188679245283019,0.5,"GO:0001869","GO:BP","negative regulation of complement activation, lectin pathway",25907,504,"GO:0001867;GO:0001868;GO:0045824;GO:0045916"
"query_1",TRUE,0.0291808519859127,1264,53,8,0.150943396226415,0.00632911392405063,"GO:0040011","GO:BP","locomotion",25907,9808,"GO:0008150"
"query_1",TRUE,0.0291808519859127,2810,53,13,0.245283018867925,0.00462633451957295,"GO:0035556","GO:BP","intracellular signal transduction",25907,9022,"GO:0007165"
"query_1",TRUE,0.0291808519859127,2,53,1,0.0188679245283019,0.5,"GO:2001213","GO:BP","negative regulation of vasculogenesis",25907,25956,"GO:0001570;GO:0045596;GO:2001212"
"query_1",TRUE,0.0291808519859127,2,53,1,0.0188679245283019,0.5,"GO:0060587","GO:BP","regulation of lipoprotein lipid oxidation",25907,14556,"GO:0019216;GO:0034439;GO:0034442"
